name,positive_ratio,total_reviews,price,owners_mid,average_playtime,median_playtime,genre_Indie,genre_Action,genre_Adventure,genre_Casual,genre_Strategy,genre_Simulation,genre_RPG,genre_Early Access,genre_Free to Play,genre_Sports,cat_Single-player,cat_Steam Achievements,cat_Steam Trading Cards,cat_Steam Cloud,cat_Full controller support,cat_Partial Controller Support,cat_Multi-player,cat_Steam Leaderboards,kmeans_cluster,dbscan_cluster
Space Shaft,0.5384615384615384,13,0.79,10000.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-1
They That Feast,0.45,20,0.0,10000.0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Dimensity,0.2,15,6.99,10000.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,-1
Tex Murphy: Mean Streets,0.6938775510204082,49,4.79,35000.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
Shop Manager : Video Game Tycoon,0.8461538461538461,13,5.79,10000.0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Naked Sun,0.8421052631578947,38,7.19,10000.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
BellyBots,0.8529411764705882,34,5.59,10000.0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,-1
Defend the Cake,1.0,25,7.19,10000.0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,-1
Selatria: Advent of the Dakk'rian Empire,1.0,10,3.99,10000.0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,-1
Spoiler Alert,0.7453580901856764,1131,1.99,150000.0,291,331,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,-1
Not without my donuts,0.46808510638297873,47,2.79,35000.0,226,226,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-1
Angry Birds VR: Isle of Pigs,0.8809523809523809,84,11.39,10000.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,-1
Strania - The Stella Machina -,0.9743589743589743,39,10.99,10000.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,2,-1
Snowday,0.8181818181818182,11,0.0,10000.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,-1
Ace Of Words,0.6822429906542056,749,3.99,150000.0,242,272,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,2,-1
NanoScape,0.2727272727272727,11,1.59,10000.0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1
